Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
meng1267	0	0	0	Austronesian
lito1235	0	0	0	Atlantic-Congo
nort2795	0	0	0	Atlantic-Congo
sout2741	0	0	0	Tai-Kadai
tawa1275	1	0	0	Austronesian
bouy1240	0	0	0	Tai-Kadai
chig1238	0	0	0	Atlantic-Congo
yabe1254	0	0	0	Austronesian
asoa1238	0	0	0	Central Sudanic
ilok1237	0	0	1	Austronesian
maon1241	0	0	0	Tai-Kadai
puoc1238	0	1	0	Austroasiatic
idaa1241	0	0	0	Austronesian
tafi1243	0	0	0	Atlantic-Congo
taki1248	1	0	0	Austronesian
bela1260	0	0	0	Austronesian
east2563	0	0	0	Austronesian
nucl1460	0	0	0	Austronesian
aben1249	0	0	1	Austronesian
kima1244	0	0	1	Austronesian
muss1246	0	1	0	Austronesian
nort2994	0	0	0	Austronesian
nort2699	1	1	1	Dravidian
plat1254	0	0	1	Austronesian
band1340	0	0	0	Atlantic-Congo
siar1238	0	0	0	Austronesian
siwu1238	0	0	0	Atlantic-Congo
unea1237	0	1	0	Austronesian
nugu1242	0	0	0	Atlantic-Congo
jjuu1238	0	0	0	Atlantic-Congo
cebu1242	0	0	0	Austronesian
west2564	0	0	0	Austronesian
benc1235	1	0	1	Ta-Ne-Omotic
hala1252	0	0	0	Austroasiatic
chim1312	0	1	0	Atlantic-Congo
gaaa1245	0	0	0	Atlantic-Congo
bolg1251	0	0	0	Atlantic-Congo
kair1263	1	0	0	Austronesian
bann1247	0	1	0	Austronesian
sisi1250	0	0	0	Austronesian
mera1242	0	0	0	Austronesian
obom1235	0	0	0	Austronesian
ramo1244	0	0	0	Austronesian
east2333	0	1	0	Austroasiatic
