Glottocode	GB070	GB131	GB132	GB133	GB136
abun1252	0	0	1	0	1
area1240	1	0	1	0	0
axam1237	0	0	1	0	1
cash1251	1	0	0	1	0
chuk1273	1	0	0	1	0
ersu1241	1	0	0	1	0
esto1258	1	0	1	0	1
finn1318	1	0	1	0	1
gahr1239	1	0	0	1	0
ingr1248	1	0	1	0	1
kemb1249	0	0	1	0	1
lena1238	0	0	1	0	1
livv1243	1	0	1	0	1
lule1254	1	0	1	0	0
mand1415	0	0	1	0	0
mode1248	1	0	1	0	0
moks1248	1	0	1	0	0
motl1237	0	0	1	0	1
nana1257	1	0	0	1	0
nenn1238	1	0	0	1	0
noct1238	0	0	0	1	0
nucl1301	1	0	0	1	1
panj1256	1	0	0	1	0
pite1240	1	0	1	0	0
poli1260	1	0	1	0	0
seme1247	1	1	1	0	0
sout2674	1	0	0	1	0
stan1290	0	0	1	0	1
stan1293	0	0	1	0	1
supy1237	0	0	0	1	1
tami1289	1	0	0	1	0
tojo1241	0	1	0	0	1
kare1335	1	0	1	0	1
west2519	0	1	0	0	0
west2418	1	0	0	1	0
wutu1241	0	0	0	1	0
agob1244	1	0	0	1	0
apma1240	0	0	1	0	1
arak1252	0	0	1	0	1
aton1241	1	0	0	1	0
cent2127	1	0	1	0	0
cosa1234	0	0	0	1	0
faro1244	1	0	1	0	1
kaya1315	0	0	1	0	1
kxoe1243	0	1	1	1	0
lezg1247	1	0	0	1	0
mana1298	1	0	0	1	0
matu1261	0	0	0	1	0
maun1240	0	1	1	1	0
ngan1291	1	0	0	1	0
nort2747	0	0	1	0	1
nort2942	0	0	0	1	1
nucl1622	0	0	0	1	0
pahn1237	0	0	1	0	0
pela1242	0	0	0	1	0
sout2959	0	0	0	1	1
tibe1272	1	0	0	1	0
udih1248	1	0	0	1	0
vure1239	0	0	1	0	1
yami1254	1	1	1	0	0
arao1248	1	0	0	1	0
ashe1272	0	1	0	0	0
baim1244	0	0	0	1	0
balu1257	0	0	1	0	1
bola1250	0	0	1	0	1
chip1261	0	0	0	1	1
chuv1255	1	0	0	1	1
dzao1238	0	0	1	0	0
emai1241	0	0	1	0	1
enuu1235	0	0	0	1	1
fore1265	1	0	0	1	1
gayo1244	0	1	1	0	0
geba1237	0	0	1	0	1
halk1245	0	1	0	0	0
hoaa1235	0	0	1	0	1
ital1282	0	0	1	0	1
