Glottocode	AUTOTYP_area	Longitude	Latitude	Family_ID	Name
aher1237	Indic	80.0058	19.4163	drav1251	Aheri Gondi
aheu1239	Southeast Asia	104.229	17.7655	aust1305	Thavung
ahin1234	Oceania	120.90003	16.321	aust1307	Ahin-Kayapa Kalanguya
ahir1243	Indic	73.685	21.552	book1242	Ahirani
ahom1240	Indic	88.464	27.2778	taik1256	Ahom
ahte1237	Alaska-Oregon	-144.889	61.7068	atha1245	Ahtena
ahwa1235	African Savannah	8.56205	9.17635	atla1278	Ndunic
aich1238	Southeast Asia	107.844	25.4908	taik1256	Ai-Cham
aigh1235	N Coast New Guinea	150.272	-5.99488	aust1307	Aighon
aika1237	NE South America	-60.5353	-12.6695	NA	Aikanã
aikl1237	N Coast New Guinea	149.571	-6.23575	aust1307	Aiklep
aima1241	Greater Mesopotamia	59.1756	35.283	indo1319	Aimaq
aime1238	S New Guinea	142.656	-6.68656	bosa1245	Aimele
aimo1244	Southeast Asia	94.3556	24.6437	sino1245	Aimol
ainb1238	N Coast New Guinea	141.149	-3.09214	bord1247	Ainbai
ainu1240	N Coast Asia	142.46167	43.633654	ainu1252	Hokkaido Ainu
ainu1251	Inner Asia	76.4209	39.2714	turk1311	Ainu (China)
aiom1240	N Coast New Guinea	144.765	-5.13467	lowe1437	Aiome
airo1242	N Coast New Guinea	138.158	-1.8522	kwer1242	Airoran
aito1238	Indic	92.3169	26.5145	taik1256	Aiton
ajab1235	African Savannah	1.64992	7.06634	atla1278	Aja (Benin)
ajas1235	African Savannah	25.6122	8.58003	kres1240	Aja (South Sudan)
ajaw1236	African Savannah	9.89205	10.21	afro1255	Ajawa
ajie1238	Oceania	165.468	-21.3029	aust1307	Ajië
ajyi1238	NE South America	-74.61947	-9.82364	araw1281	Ajyíninka Apurucayali
akaa1242	African Savannah	33.6524	11.2101	east2386	Aka
akab1248	Southeast Asia	92.8011	12.3629	grea1241	Akabo
akab1249	Southeast Asia	92.7818	12.3782	grea1241	Akabea
akac1240	Southeast Asia	92.94855	13.49086	grea1241	Akacari
akaj1239	Southeast Asia	92.9504	13.1525	grea1241	Akajeru
akak1251	Southeast Asia	92.7466	12.0944	grea1241	Akakora
akak1252	Southeast Asia	92.8227	12.8494	grea1241	Akakede
akak1253	Southeast Asia	92.78661	12.73253	grea1241	Akakol
akan1250	African Savannah	-1.33254	6.34756	atla1278	Akan
akar1243	Southeast Asia	92.8278	12.6663	grea1241	Akarbale
akas1242	African Savannah	1.37035	8.8858	atla1278	Akaselem
akaw1239	NE South America	-60.862	6.16277	cari1283	Akawaio-Ingariko
akeb1238	African Savannah	0.77668	7.78365	atla1278	Akebu
akee1238	African Savannah	8.75768	8.59543	atla1278	Ake
akei1237	Oceania	166.767	-15.6377	aust1307	Akei
akeu1235	Southeast Asia	101.0823	22.1959	sino1245	Akeu
akha1245	Southeast Asia	100.964	21.2309	sino1245	Akha
akhv1239	Greater Mesopotamia	46.3037	42.4003	nakh1245	Akhvakh
akka1237	Inner Asia	32.4046	67.8625	ural1272	Akkala Saami
akka1240	Greater Mesopotamia	44.1	33.1	afro1255	Akkadian
akkk1240	N Coast New Guinea	141.784	-3.57026	sepi1257	Ak
akla1240	Oceania	122.35413	11.55432	aust1307	Aklanon
akla1241	Oceania	122.354	11.5543	aust1307	Kailibo Aklanon
akol1237	N Coast New Guinea	150.182	-6.22711	aust1307	Akolet
akoo1248	African Savannah	9.65522	4.9243	atla1278	Akoose
akoy1238	S New Guinea	145.669	-7.66067	anga1289	Akoye
akpa1238	African Savannah	8.01629	7.32586	atla1278	Akpa
akpe1248	African Savannah	5.95559	7.50256	atla1278	Akpes
akpo1243	African Savannah	8.545454	9.235232	atla1278	Akpondu
akru1241	N Coast New Guinea	144.821	-4.88687	lowe1437	Chini
akuk1235	African Savannah	6.34264	7.40354	atla1278	Akuku
akum1238	African Savannah	9.96261	6.85716	atla1278	Akum
akun1241	NE South America	-60.9716	-12.8322	tupi1275	Akuntsu
akur1238	NE South America	-55.6294	3.19607	cari1283	Akurio
akwa1248	S Africa	15.4623	-0.39897	atla1278	Akwa
alab1237	E North America	-94.62848	30.76738	musk1252	Alabama
alab1246	Oceania	122.014	14.1217	aust1307	Alabat Island Agta
alab1254	Greater Abyssinia	38.1732	7.39014	afro1255	Alaba-K'abeena
alab1256	Greater Mesopotamia	46.66	43.59	turk1311	Alabugat Tatar
alac1239	SE South America	-70.140381	-54.788017	kawe1237	Alacalufe-Austral
alac1240	SE South America	-71.04126	-53.435719	kawe1237	Alacalufe-Central
alac1244	Mesoamerica	-98.58	17.25	otom1299	Alacatlatzala Mixtec
alag1242	African Savannah	8.52085	8.34986	atla1278	Alago
alag1248	S Africa	35.7231	-4.64148	afro1255	Alagwa
alak1253	Southeast Asia	106.597	15.5565	aust1305	Alak
alam1246	N Coast New Guinea	143.316	-4.66307	sepi1257	Alamblak
alan1247	Europe	19.9422	60.2151	indo1319	Åland Islands Swedish
alan1249	Oceania	121.022	13.0982	aust1307	Alangan
alap1235	NE South America	-59.996702	-12.329886	unat1236	Alapmunte
alaw1244	N Australia	134.282	-15.5458	mang1423	Alawa
alba1269	Oceania	123.49	13.1989	aust1307	Inland-Buhi-Daraga Bikol
alba1271	Europe	19.817778	41.328889	sign1238	Albanian Sign Language
alco1235	Mesoamerica	-98.3969	17.3687	otom1299	Alcozauca Mixtec
aleg1238	African Savannah	9.00394	6.59423	atla1278	Alege
alek1238	Interior New Guinea	145.387	-6.03901	nucl1709	Alekano
aleu1260	N Coast Asia	-174.29	52.1228	eski1264	Aleut
alge1235	N Africa	3.5462	36.4762	sign1238	Algerian Sign Language
alge1239	N Africa	3.23033	35.4208	afro1255	Algerian Arabic
alge1240	African Savannah	4.80626	20.8884	afro1255	Algerian Saharan Arabic
algh1238	Europe	8.32867	40.56432	indo1319	Algherese
algo1255	E North America	-77.5258	47.3876	algi1248	Algonquin
alii1240	S Africa	18.0352	4.60014	atla1278	Ali
alip1234	Indic	77.107525	16.843564	sign1238	Alipur Sign Language
alla1247	Indic	76.6593	11.0803	drav1251	Allar
alla1248	African Savannah	-4.42647	5.22371	atla1278	Alladian
alle1238	Andean	-68.096924	-33.480938	huar1251	Allentiac
alng1239	N Australia	141.938	-12.5324	pama1250	Alngith
aloa1235	Mesoamerica	-96.7438	17.4137	otom1299	Aloápam Zapotec
alop1235	Southeast Asia	101.933	23.59	sino1245	Alo Phola
alor1247	Oceania	124.264	-8.20382	aust1307	Alorese
alsa1242	Greater Mesopotamia	34.916111	31.284444	sign1238	Al-Sayyid Bedouin Sign Language
alse1251	Alaska-Oregon	-123.94	44.408	NA	Alsea-Yaquina
alug1235	Southeast Asia	103	23	sino1245	Alugu
aluk1238	Indic	76.7995	11.3456	drav1251	Alu Kurumba
alum1246	African Savannah	8.55956	9.01513	atla1278	Alumu-Tesu
alun1238	Oceania	128.394	-3.11477	aust1307	Alune
aluo1235	Southeast Asia	102	26	sino1245	Aluo
alur1250	S Africa	31.0016	2.36213	nilo1247	Alur
alut1245	N Coast Asia	165.653	60.3844	chuk1271	Alutor
alvi1241	Greater Mesopotamia	50.3794	35.0075	indo1319	Alviri-Vidari
alya1239	S Australia	136.835	-21.0427	pama1250	Alyawarr
amah1245	Oceania	128.939	-3.32028	aust1307	Amahai
amah1246	NE South America	-72.3208	-10.2012	pano1259	Amahuaca
amai1246	N Coast New Guinea	145.368	-5.18742	nucl1709	Amaimon
amal1242	Interior New Guinea	141.995	-4.04517	sepi1257	Amal
amam1246	S New Guinea	146.92	-7.9	goil1242	Amam
amam1247	N Coast Asia	129.358991	28.268372	sign1238	Amami O Shima Sign Language
aman1265	N Coast New Guinea	141.178	-3.51516	bord1247	Amanab
aman1266	NE South America	-48.6613	-3.79772	tupi1275	Amanayé
amap1240	N Coast New Guinea	141.658	-4.20192	left1242	Ama (Papua New Guinea)
amar1271	N Australia	132.878	-11.9876	iwai1246	Amurdak
amar1272	N Coast New Guinea	148.68	-5.55778	aust1307	Amara
amar1273	Oceania	123.96373	-10.21751	aust1307	Amarasi
amar1274	NE South America	-70.5533	-12.4931	hara1260	Amarakaeri
amas1236	African Savannah	29.4332	12.0993	nyim1244	Ama (Sudan)
amat1238	Mesoamerica	-96.4003	16.2707	otom1299	Amatlán Zapotec
