"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-625.319038229611,24.0767440777806,292.554698915158,12.9862242802063,1250.63807645922,48.1534881555613
"model1",-0.254478987081848,1.59764878991389,-625.573517216692,24.174547666836,286.845805052361,12.7721572842654,1251.14703443338,48.3490953336719
"model2",-138.37555019565,17.4708739479927,-763.69458842526,20.6733009585887,371.895364445002,11.4886888846493,1527.38917685052,41.3466019171775
