"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model1",0,0,-362.202382249827,20.5482494170698,235.421062346559,15.5400893845665,724.404764499654,41.0964988341395
"model3",-15.3448960756992,5.17659784369512,-377.547278325526,20.2773092780302,247.640323592184,15.1689069809779,755.094556651053,40.5546185560605
"model2",-207.273558396799,20.0568615164608,-569.475940646626,20.1402918136597,320.051594433641,13.6771413087399,1138.95188129325,40.2805836273195
