"","elpd_diff","se_diff","elpd_kfold","se_elpd_kfold","p_kfold","se_p_kfold"
"model2",0,0,-1129.9463925523,10.2094957366619,903.648528059814,11.3261769613206
"model1",-0.372402408443248,1.02515210282052,-1130.31879496074,10.2109216084727,1013.91800934728,10.8896653968001
"model3",-0.38349328719272,1.18861931840895,-1130.32988583949,10.8258529809115,1004.40025533012,11.4130585616832
