"","elpd_diff","se_diff","elpd_kfold","se_elpd_kfold","p_kfold","se_p_kfold"
"model3",0,0,-1131.81205059248,9.90467905829394,413.711762194038,11.0664446838368
"model2",-1.20195003843173,0.773679263705,-1133.01400063091,9.94561498202333,390.056271970585,10.1742654753041
"model1",-2.31386815392926,0.82483460059717,-1134.12591874641,9.95486983643675,361.511612634491,12.015276547019
