"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-995.096123596159,17.0344040673415,276.995835197717,6.25446487105097,1990.19224719232,34.068808134683
"model1",-5.8216761515192,6.6517343476408,-1000.91779974768,17.659694447094,228.30349363576,6.39917823422258,2001.83559949535,35.319388894188
"model2",-26.730134297234,8.34494171172553,-1021.82625789339,15.401483928613,278.868529233067,5.16005041502133,2043.65251578678,30.802967857226
