"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model1",0,0,-372.133542839496,20.5652239221456,255.732757226033,15.5346180370696,744.267085678991,41.1304478442911
"model3",-13.0370524411177,5.0476835377672,-385.170595280614,20.2541206353398,259.240964771246,15.1118323991409,770.341190561229,40.5082412706796
"model2",-215.523785998793,20.0101373893678,-587.65732883829,20.1546228668677,361.359464345804,13.5866393029792,1175.31465767658,40.3092457337354
