"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.943453014626137,0.160437733707453,0.349416498365845,1,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.0249690932532223,0.101700898823872,2.66578888995931e-21,0.340303262113879,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",0.0251401122209262,0.101318270566774,3.14939515210088e-21,0.337573501837765,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",0.0395177390846558,0.135537176410182,1.56300479217432e-22,0.540215334165939,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.889055795051256,0.166808576912961,0.375088717588968,0.999876616522666,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.903135193013972,0.150575365173183,0.433744916724981,0.999883225551174,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.905696523824856,0.146527974933072,0.448878132377929,0.999883823371524,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.906234031835303,0.146537980016616,0.448020235478029,0.999877606508605,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.905947342334421,0.14472441774727,0.453604332456928,0.999872181801384,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.905318403858532,0.146011311564821,0.447120759179158,0.999878655138061,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.895192463678807,0.159050710194043,0.400475030395046,0.999871245543274,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",0.38873504315777,0.292234868400016,0.00688019608575961,0.949201064117512,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.733529474446895,0.2590779787509,0.119097162001923,0.998080868472286,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.900882808342545,0.164402992993376,0.377208477559717,0.999964366209379,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.901410445744976,0.164174793682246,0.374640972365623,0.999967517256117,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.895575716226276,0.171092041928692,0.350994466365314,0.999962006563851,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.884524706545723,0.181998581146201,0.317182943251255,0.999958974230023,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.88581146612686,0.180090118997618,0.320707569050203,0.999958054300324,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.862277940281578,0.20275232864189,0.250416111571592,0.999944440550269,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.879074085273537,0.18842455061805,0.294864618190683,0.999960040146766,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.880138879655247,0.186110355883914,0.305197155799338,0.999957179100941,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.884471166220598,0.182040040765673,0.312138297718766,0.99995998218578,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.884284245499563,0.181828324038063,0.319629674079427,0.999958023026692,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.818200691881906,0.232805981586333,0.172185976644669,0.999880136473759,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.817398114043948,0.234597709607507,0.169375329688269,0.999882423850998,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",0.0321883865253288,0.0870432455919071,7.02500369911114e-07,0.297702193510805,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",0.0321571090060447,0.0880434769375112,6.78590488938861e-07,0.306391832852347,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",0.0264371338151005,0.0732854006991566,6.22900633358156e-07,0.24157800306295,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",0.0261895786003122,0.0727289844447881,5.99718727802667e-07,0.239392962737797,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",0.0288861410418651,0.0810126938145294,6.09071602558769e-07,0.266854497052471,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",0.0823633013107438,0.138385316594077,7.4327949060742e-05,0.520449457956216,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",0.0843395143892369,0.141606809590006,7.44292413160196e-05,0.531969466728617,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",0.0933773021171798,0.155071803643261,7.11612045275868e-05,0.588839793874164,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
"mono1273",0.557560147150686,0.282167739616972,0.053070563652486,0.981662411921425,"mono1273","1","0","0","Oceania",155.76,-7.05102,"mono1273"
"tora1259",0.557040468961453,0.281798190632382,0.051724642570156,0.981364668131193,"tora1259","1","0","0","Oceania",155.496,-6.19922,"tora1259"
"zaba1237",0.207646634733295,0.223176023672049,0.00175266522813911,0.795773736437594,"zaba1237","0","0","0","Oceania",158.753,-7.74311,"zaba1237"
"bann1247",0.0380576915716151,0.104680183320772,5.30150072954279e-07,0.372101140521819,"bann1247","0","1","0","Oceania",155.128,-6.23061,"bann1247"
"teop1238",0.0318439826242773,0.092928540820613,4.51628947528388e-07,0.315163479239799,"teop1238","0","1","0","Oceania",154.971,-5.67474,"teop1238"
"sapo1253",0.0319661717382056,0.0907599090623826,4.41523808172544e-07,0.321276142331858,"sapo1253","0","0","0","Oceania",154.732,-5.64103,"sapo1253"
"hali1244",0.03195305743449,0.091512838430402,4.63280889824796e-07,0.313818321710377,"hali1244","0","0","0","Oceania",154.662,-5.26603,"hali1244"
"neha1247",0.0278391984051565,0.080816633938303,4.27868255690348e-07,0.267442119387499,"neha1247","0","1","0","Oceania",154.2,-4.56875,"neha1247"
"papa1265",0.0275714135950664,0.0799253434569788,4.5435891756212e-07,0.271270922314006,"papa1265","0","1","0","Oceania",155.289,-5.92283,"papa1265"
"siar1238",0.0380438318291809,0.104551959027154,4.63464187185037e-07,0.378312899880781,"siar1238","0","0","0","N Coast New Guinea",152.892,-4.62059,"siar1238"
"ramo1244",0.0373861234074863,0.101370513665374,4.96860147050135e-07,0.362914305405448,"ramo1244","0","0","0","N Coast New Guinea",152.451,-4.17306,"ramo1244"
"kuan1248",0.0299380626143436,0.08824325803217,4.3535777419367e-07,0.296974112088973,"kuan1248","0","0","0","N Coast New Guinea",152.114,-4.30986,"kuan1248"
"mini1251",0.0307597923894065,0.089166133227891,4.55943562997036e-07,0.302505411162298,"mini1251","0","0","0","N Coast New Guinea",152.005,-4.31803,"mini1251"
"patp1243",0.0320677127268201,0.0913915689418904,4.01324048130851e-07,0.314642595123141,"patp1243","0","0","0","N Coast New Guinea",152.493,-3.74711,"patp1243"
"baro1253",0.0340569309010506,0.0949797582852452,4.01874958328694e-07,0.330821456329636,"baro1253","0","0","0","N Coast New Guinea",152.193,-3.47672,"baro1253"
"mada1285",0.0338335693284786,0.0942600873307357,4.25007144392666e-07,0.334960854119856,"mada1285","0","0","0","N Coast New Guinea",151.967,-3.34342,"mada1285"
"kara1486",0.0321433175253226,0.0929720713401116,3.15180693294796e-07,0.321229596875658,"kara1486","0","0","0","N Coast New Guinea",151.111,-2.81957,"kara1486"
"nali1244",0.0324995716439525,0.0941097026605589,3.35495305181339e-07,0.325068557900415,"nali1244","0","0","0","N Coast New Guinea",151.332,-2.94411,"nali1244"
"tiga1245",0.0323886540623074,0.0944101126522613,3.1758224704956e-07,0.325558042495562,"tiga1245","0","0","0","N Coast New Guinea",150.893,-2.70951,"tiga1245"
"tung1290",0.0322484188497323,0.093807451187161,3.22962312660766e-07,0.323821867917494,"tung1290","0","0","0","N Coast New Guinea",150.198,-2.52188,"tung1290"
"lihi1237",0.0247164955912092,0.0725967186540226,3.62076026638041e-07,0.235046362551619,"lihi1237","0","0","1","N Coast New Guinea",152.606,-3.18895,"lihi1237"
"nots1237",0.0250884422676659,0.0738191844013244,3.31702299704553e-07,0.24399776614706,"nots1237","0","0","0","N Coast New Guinea",151.661,-3.0557,"nots1237"
"mand1440",0.025530463765943,0.0760923762387974,3.44883115786004e-07,0.248243227576195,"mand1440","0","0","0","N Coast New Guinea",151.956,-2.7828,"mand1440"
"bola1250",0.0295429981876054,0.0852020872520226,3.8499924784667e-07,0.288332314005104,"bola1250","0","0","0","N Coast New Guinea",150.095,-5.55792,"bola1250"
"mera1242",0.0266868375926023,0.0786116938883757,3.62028856031488e-07,0.257105210813034,"mera1242","0","0","0","Oceania",151.528,-4.97468,"mera1242"
"naka1262",0.026499321733613,0.0774741898668698,3.91462462118522e-07,0.258030207434753,"naka1262","0","0","0","N Coast New Guinea",150.888,-5.59931,"naka1262"
"mudu1242",0.0303611072745652,0.0872197714004082,3.80653249332532e-07,0.294679882613257,"mudu1242","0","0","0","N Coast New Guinea",149.489,-4.69751,"mudu1242"
"unea1237",0.0307400269862561,0.0879866083747384,3.66586496509102e-07,0.298198970995561,"unea1237","0","1","0","N Coast New Guinea",149.141,-4.89383,"unea1237"
