"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.103459439021344,0.203636586238224,5.18976715491171e-09,0.784230537135576,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.359821664583539,0.299686616076802,0.00362090676395527,0.95538133214828,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.366791483386347,0.299569763337535,-0.957877708257054,-0.00422474178863275,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.09309562982512,0.195806638459697,-0.76372655753839,-7.9039723087124e-10,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",-0.0973468292308359,0.106956032347843,-0.411635720539342,-0.00370145235793726,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",-0.0937997066722526,0.102825208589907,-0.389318060356749,-0.0037203847932889,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",-0.09259316119538,0.102149155975911,-0.387669216353156,-0.00382415893425197,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",-0.0931335281756569,0.102594681768088,-0.387620197831986,-0.00377328516477499,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.728371152296153,0.193227529255401,0.267091846146209,0.973687283234236,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.727806716166542,0.193495689287214,0.263776619671008,0.973378149204625,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",-0.177714621168295,0.154149999052538,-0.588263596433416,-0.0119006438311541,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.0826511176107342,0.101402688507477,-0.376178258208074,-0.00233361936010966,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
