"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.290646685382109,0.288087911770261,0.000700940147116544,0.933603006178871,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",-0.108009110987702,0.165178449989025,-0.618609210836297,-5.68460196092635e-05,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.107826932388587,0.164567879605879,-0.61770572336772,-5.25176613842241e-05,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.145691548652312,0.214764126708381,-0.787207690727596,-3.63861431975591e-05,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.484290695256899,0.144727675618623,0.206034444308635,0.75886568296886,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",-0.492994972238728,0.142011567190215,-0.770788938918952,-0.228346492685404,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.483030172190666,0.142177631640412,0.207392570879638,0.752994532001253,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.482997331887936,0.14163310206798,0.208994630820539,0.753884577926397,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.461458432350643,0.143510593463636,0.190612144630086,0.739329984879474,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.46191482865946,0.143934013973261,0.190247825070381,0.740650156576832,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.467362668101019,0.145852298864956,0.189585049644764,0.744571788008382,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.436927074287648,0.1468942632358,-0.734509277531149,-0.175892649262347,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.533282623360961,0.148039402167801,0.238480741680415,0.80086509940798,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.51302900899503,0.151550617737375,0.21162726591369,0.793191330451628,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.513797860086394,0.151516103809041,0.213484572015173,0.790082736754403,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.517100525089281,0.152352041410045,0.212041968367764,0.793932691705403,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.529507429719204,0.1539342791212,0.219311391456245,0.807892449378297,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.530156088291626,0.154798726129105,0.217837142309659,0.810053824476961,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",-0.380381552845805,0.14718674932021,-0.689621828386869,-0.13042915082791,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",-0.382969810382501,0.146979068578118,-0.690494383249382,-0.135130071685884,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.563378514453144,0.150374776594486,0.253520859005237,0.830554544536761,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.565267482743365,0.151669710906582,0.253330213379983,0.829533329502446,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",-0.385180564144858,0.145833744726819,-0.693083758991331,-0.137754657678397,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",-0.337576190028032,0.142177418679512,-0.650963286912031,-0.10547715205221,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",-0.336833733017268,0.142500165494667,-0.650378745549423,-0.10365880049275,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
