"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model1",0,0,-621.15964025224,24.150908038313,275.857438382305,12.7090767489043,1242.31928050448,48.3018160766261
"model3",-3.26954069982905,1.77752593221493,-624.42918095207,24.0803891198754,290.907738541396,12.9941737809744,1248.85836190414,48.1607782397508
"model2",-135.515653512319,17.7983036149379,-756.675293764559,20.6261844556707,354.344252323119,11.438208151185,1513.35058752912,41.2523689113414
