"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-995.003507126132,17.0363586452425,276.837066131786,6.25688775730785,1990.00701425226,34.0727172904851
"model1",-4.72670827554526,6.64980762983726,-999.730215401676,17.6660982143175,225.440011221784,6.37106379056693,1999.46043080335,35.332196428635
"model2",-26.8227507672611,8.3464042660153,-1021.82625789339,15.401483928613,278.868529233067,5.16005041502133,2043.65251578678,30.802967857226
