"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.0565469853738627,0.160437733707453,0,0.650583501634155,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",-0.0249690932532223,0.101700898823872,-0.340303262113879,-2.66578888995931e-21,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.0251401122209262,0.101318270566774,-0.337573501837765,-3.14939515210085e-21,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.0395177390846558,0.135537176410182,-0.540215334165938,-1.56300479217428e-22,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.110944204948744,0.166808576912961,0.000123383477333633,0.624911282411032,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.0968648069860282,0.150575365173183,0.000116774448825724,0.566255083275019,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.0943034761751438,0.146527974933072,0.000116176628476156,0.551121867622071,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.093765968164697,0.146537980016616,0.000122393491394962,0.551979764521971,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.094052657665579,0.14472441774727,0.00012781819861582,0.546395667543072,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.0946815961414682,0.146011311564821,0.000121344861939046,0.552879240820842,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.104807536321193,0.159050710194043,0.000128754456725999,0.599524969604955,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.38873504315777,0.292234868400016,-0.949201064117512,-0.00688019608575961,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.266470525553105,0.2590779787509,0.00191913152771395,0.880902837998077,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.0991171916574555,0.164402992993376,3.56337906213533e-05,0.622791522440283,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.0985895542550239,0.164174793682246,3.24827438833691e-05,0.625359027634377,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.104424283773724,0.171092041928692,3.79934361490725e-05,0.649005533634686,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.115475293454277,0.181998581146201,4.10257699766825e-05,0.682817056748745,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.11418853387314,0.180090118997618,4.19456996763073e-05,0.679292430949797,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.137722059718422,0.20275232864189,5.55594497308354e-05,0.749583888428408,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.120925914726463,0.18842455061805,3.99598532338896e-05,0.705135381809317,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.119861120344753,0.186110355883914,4.28208990593287e-05,0.694802844200662,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.115528833779402,0.182040040765673,4.0017814220078e-05,0.687861702281234,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.115715754500437,0.181828324038063,4.19769733083636e-05,0.680370325920573,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.181799308118094,0.232805981586333,0.000119863526240707,0.827814023355331,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.182601885956052,0.234597709607507,0.000117576149002366,0.830624670311731,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",-0.0321883865253288,0.0870432455919071,-0.297702193510803,-7.02500369911114e-07,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",-0.0321571090060447,0.0880434769375112,-0.306391832852347,-6.78590488938856e-07,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",-0.0264371338151005,0.0732854006991566,-0.24157800306295,-6.22900633358156e-07,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",-0.0261895786003122,0.0727289844447881,-0.239392962737797,-5.99718727802667e-07,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",-0.0288861410418651,0.0810126938145294,-0.26685449705247,-6.09071602558763e-07,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",-0.0823633013107438,0.138385316594077,-0.520449457956215,-7.43279490607419e-05,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",-0.0843395143892369,0.141606809590006,-0.531969466728616,-7.44292413160196e-05,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",-0.0933773021171798,0.155071803643261,-0.588839793874164,-7.11612045275867e-05,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
"mono1273",0.442439852849314,0.282167739616972,0.0183375880785754,0.946929436347514,"mono1273","1","0","0","Oceania",155.76,-7.05102,"mono1273"
"tora1259",0.442959531038547,0.281798190632382,0.0186353318688072,0.948275357429844,"tora1259","1","0","0","Oceania",155.496,-6.19922,"tora1259"
