"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.107593580765619,0.207198984844907,7.22088187021797e-09,0.793627745340206,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.365693202009986,0.299839399069684,0.0041889623007432,0.956517647844857,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.36975215013456,0.300480855669528,-0.960670630743392,-0.00466106006578592,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.0919651523580444,0.194041765548823,-0.762297695761934,-1.32103748585841e-09,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",-0.0990257764015158,0.105891291361295,-0.403201955923578,-0.00450778555952818,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",-0.0941086600669711,0.0998427859740337,-0.380361989240509,-0.00455130471780291,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",-0.0937374183756835,0.098958517478377,-0.373473601943594,-0.0046057228448162,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",-0.0937020725239906,0.100051924082584,-0.378831302394659,-0.00433700037067692,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.738751097936737,0.184832409470054,0.291749435670697,0.973594959129161,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.739178688485571,0.185209247252869,0.288644588685105,0.973161065483949,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",-0.17938811606127,0.151496484555577,-0.579595349755197,-0.0134249622168192,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.0826882693804389,0.0982051956647368,-0.362924851029639,-0.00281439174976771,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",-0.0841950111378012,0.1008339279145,-0.375730953409248,-0.00247313105456229,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",-0.0444917692572879,0.0685915502642066,-0.241871033906894,-0.000726298951104881,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",-0.0446249842010757,0.0676759964171291,-0.236880308283314,-0.000734294054292847,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",-0.0454469530932238,0.0685177892657442,-0.246257098594355,-0.000732508637852595,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",-0.0468188608511566,0.0711342073308212,-0.256728121124866,-0.000755010588317171,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",-0.0474081643309288,0.0735188008590987,-0.264231255603035,-0.000710236320862186,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",-0.0487448704996554,0.074354207090905,-0.273435055684126,-0.000754634485935954,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",-0.0477025973420096,0.0734757781166163,-0.263126081304127,-0.000723165598446341,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",-0.0464400937026858,0.0695551719589481,-0.248714078145225,-0.000756547047055021,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",-0.0460180252835828,0.0697605042461549,-0.247963994351046,-0.000759383729505124,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",-0.0466621823691444,0.0706043521151132,-0.252220942415527,-0.000727356228008586,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",-0.0527914665152542,0.0806436156324746,-0.292427554185303,-0.000734875044978783,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",-0.0532839603035463,0.0815815234088215,-0.289177075761122,-0.000788551036389543,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",-0.0405483815255823,0.0640311257343587,-0.226715975033216,-0.000572997297449625,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",-0.0404360347639377,0.0634637632396753,-0.224518368476409,-0.000561097745504101,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",-0.0372720183759629,0.0559827533261415,-0.201852204875115,-0.000582102611696282,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",-0.0376584167789152,0.0579362538483411,-0.20143973830689,-0.000552982823877044,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",-0.0388896341912555,0.060753056491032,-0.212654954371643,-0.000541593769734975,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",-0.0354703143948055,0.0553225761211006,-0.199450942707717,-0.000538970975236442,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",-0.035028268423701,0.053596813061221,-0.193439408692391,-0.000561265824839495,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",-0.0359242070591896,0.0560939616047905,-0.201912632396869,-0.000571567700167968,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
"mono1273",-0.0343649253465098,0.0525994373564687,-0.185204389884199,-0.000555906065486983,"mono1273","1","0","0","Oceania",155.76,-7.05102,"mono1273"
"tora1259",-0.0338887022289493,0.051372568508267,-0.179028719032976,-0.000573771070459184,"tora1259","1","0","0","Oceania",155.496,-6.19922,"tora1259"
"zaba1237",-0.0353157454019592,0.0554560939047883,-0.195268867517696,-0.000550908467880578,"zaba1237","0","0","0","Oceania",158.753,-7.74311,"zaba1237"
"bann1247",-0.0454178748466976,0.0724671293768759,-0.25991625751031,-0.000603582915679704,"bann1247","0","1","0","Oceania",155.128,-6.23061,"bann1247"
"teop1238",-0.0415127854564531,0.0659030979106428,-0.235926196583633,-0.000580654702988481,"teop1238","0","1","0","Oceania",154.971,-5.67474,"teop1238"
"sapo1253",-0.0416360341981016,0.0660171079413456,-0.234494704867066,-0.000577392034939331,"sapo1253","0","0","0","Oceania",154.732,-5.64103,"sapo1253"
"hali1244",-0.0424513391613113,0.0691380958894869,-0.248306375346403,-0.000579819351639797,"hali1244","0","0","0","Oceania",154.662,-5.26603,"hali1244"
"neha1247",-0.0401275214723748,0.0628867393737686,-0.217852761881214,-0.000579885565145237,"neha1247","0","1","0","Oceania",154.2,-4.56875,"neha1247"
"papa1265",-0.0397791446458757,0.0613635431665186,-0.223916299386387,-0.000605041323171431,"papa1265","0","1","0","Oceania",155.289,-5.92283,"papa1265"
"siar1238",-0.0480966671339311,0.0769794965122177,-0.273291788154219,-0.000642575962097621,"siar1238","0","0","0","N Coast New Guinea",152.892,-4.62059,"siar1238"
"ramo1244",-0.0478023528442913,0.076302023876458,-0.272493625867276,-0.000627230471023634,"ramo1244","0","0","0","N Coast New Guinea",152.451,-4.17306,"ramo1244"
"kuan1248",-0.0431159795590846,0.0677953818135473,-0.24420165426335,-0.000613480013961706,"kuan1248","0","0","0","N Coast New Guinea",152.114,-4.30986,"kuan1248"
"mini1251",-0.0435979291218275,0.0697122866723526,-0.249000697989778,-0.00056313582919062,"mini1251","0","0","0","N Coast New Guinea",152.005,-4.31803,"mini1251"
"patp1243",-0.0459803001241004,0.0738102367742167,-0.262641794090338,-0.00058459718258091,"patp1243","0","0","0","N Coast New Guinea",152.493,-3.74711,"patp1243"
"baro1253",-0.0474063133731056,0.0739009246476491,-0.26680152378475,-0.000658221967418632,"baro1253","0","0","0","N Coast New Guinea",152.193,-3.47672,"baro1253"
"mada1285",-0.0472609211989353,0.0724107902862047,-0.253440263171789,-0.000694581646346257,"mada1285","0","0","0","N Coast New Guinea",151.967,-3.34342,"mada1285"
"kara1486",-0.0520527291936685,0.0789311191570349,-0.286753332346753,-0.000793454952299542,"kara1486","0","0","0","N Coast New Guinea",151.111,-2.81957,"kara1486"
"nali1244",-0.0530672369206439,0.0812548329675898,-0.293209394899485,-0.000776046240079404,"nali1244","0","0","0","N Coast New Guinea",151.332,-2.94411,"nali1244"
"tiga1245",-0.0521343017195677,0.0790698587015762,-0.290245403685983,-0.000818201469712823,"tiga1245","0","0","0","N Coast New Guinea",150.893,-2.70951,"tiga1245"
"tung1290",-0.052141334458039,0.0786259926863,-0.28308459019681,-0.000808340201932442,"tung1290","0","0","0","N Coast New Guinea",150.198,-2.52188,"tung1290"
"lihi1237",0.841874665127797,0.153666226244694,0.417913707436674,0.993087091603936,"lihi1237","0","0","1","N Coast New Guinea",152.606,-3.18895,"lihi1237"
"nots1237",-0.119706001367051,0.129423877578174,-0.492207664071786,-0.00449639791852201,"nots1237","0","0","0","N Coast New Guinea",151.661,-3.0557,"nots1237"
"mand1440",-0.112657828703424,0.1246366448021,-0.473043466697192,-0.00395468262428326,"mand1440","0","0","0","N Coast New Guinea",151.956,-2.7828,"mand1440"
"bola1250",-0.0448232588672464,0.0700457017373222,-0.250958345261964,-0.000645302700567663,"bola1250","0","0","0","N Coast New Guinea",150.095,-5.55792,"bola1250"
"mera1242",-0.0428597347472781,0.0648640242309292,-0.229691157925693,-0.00063302183149336,"mera1242","0","0","0","Oceania",151.528,-4.97468,"mera1242"
"naka1262",-0.0425050343479361,0.0634825924212181,-0.225149372673495,-0.000646270802366017,"naka1262","0","0","0","N Coast New Guinea",150.888,-5.59931,"naka1262"
"mudu1242",-0.0452914797608974,0.0697127721679711,-0.248646989667549,-0.00064578189414597,"mudu1242","0","0","0","N Coast New Guinea",149.489,-4.69751,"mudu1242"
"unea1237",-0.0456305262030741,0.070266601060421,-0.249167163807447,-0.000636503755204267,"unea1237","0","1","0","N Coast New Guinea",149.141,-4.89383,"unea1237"
"adze1240",-0.0447724803263859,0.0692644500777867,-0.242462612466621,-0.000711044793410108,"adze1240","0","0","0","N Coast New Guinea",146.294,-6.39394,"adze1240"
"labu1248",-0.0449073366655943,0.0684228983087048,-0.245007621740513,-0.000705898566238473,"labu1248","0","0","0","N Coast New Guinea",146.903,-6.75,"labu1248"
"midd1327",-0.0459681781479498,0.0705249348627919,-0.25376014014957,-0.000665224057763341,"midd1327","0","0","0","Interior New Guinea",146.399126,-6.88249,"midd1327"
"buga1250",-0.0436818721589076,0.0652971129494757,-0.237916676645359,-0.000727959277164358,"buga1250","0","0","0","N Coast New Guinea",147.32,-6.67519,"buga1250"
"yabe1254",-0.0437713425226615,0.0654116537566832,-0.233792644493549,-0.000745027171546915,"yabe1254","0","0","0","N Coast New Guinea",147.81,-6.67052,"yabe1254"
"pate1247",-0.0436273653406771,0.0673455681077471,-0.244338633449917,-0.000646764298280924,"pate1247","0","0","0","Interior New Guinea",146.639,-6.91988,"pate1247"
"mang1404",-0.0422870434418016,0.0644082559272837,-0.227426901701791,-0.000696847917398374,"mang1404","0","1","0","Interior New Guinea",146.685,-6.99891,"mang1404"
"mapo1242",-0.0428264755198339,0.0653374966531736,-0.229348678830469,-0.000682924230616815,"mapo1242","0","0","0","N Coast New Guinea",146.774,-6.86672,"mapo1242"
"hote1245",-0.0446656044404089,0.0681301833989379,-0.250366784374772,-0.0006702819606436,"hote1245","0","0","0","Interior New Guinea",146.869,-7.07708,"hote1245"
"sobe1238",-0.0525770900254959,0.080851622343156,-0.291041769736425,-0.000780507440080813,"sobe1238","0","1","0","N Coast New Guinea",138.75,-1.86998,"sobe1238"
