"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.709353314617891,0.288087911770261,0.0663969938211292,0.999299059852883,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.108009110987702,0.165178449989025,5.6846019609263e-05,0.618609210836296,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",0.107826932388587,0.164567879605879,5.25176613842239e-05,0.61770572336772,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",0.145691548652312,0.214764126708381,3.63861431975589e-05,0.787207690727596,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.515709304743101,0.144727675618623,0.24113431703114,0.793965555691365,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.492994972238728,0.142011567190215,0.228346492685404,0.770788938918952,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.516969827809334,0.142177631640412,0.247005467998747,0.792607429120362,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.517002668112064,0.14163310206798,0.246115422073602,0.791005369179461,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.538541567649357,0.143510593463636,0.260670015120526,0.809387855369914,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.53808517134054,0.143934013973261,0.259349843423168,0.809752174929619,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.532637331898981,0.145852298864956,0.255428211991618,0.810414950355235,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",0.436927074287648,0.1468942632358,0.175892649262347,0.734509277531149,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.466717376639039,0.148039402167801,0.19913490059202,0.761519258319585,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.48697099100497,0.151550617737375,0.206808669548372,0.788372734086309,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.486202139913606,0.151516103809041,0.209917263245597,0.786515427984827,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.482899474910719,0.152352041410045,0.206067308294597,0.787958031632236,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.470492570280796,0.1539342791212,0.192107550621703,0.780688608543755,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.469843911708374,0.154798726129105,0.189946175523039,0.782162857690341,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.380381552845805,0.14718674932021,0.130429150827909,0.689621828386869,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.382969810382501,0.146979068578118,0.135130071685884,0.690494383249381,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.436621485546856,0.150374776594486,0.169445455463239,0.746479140994763,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.434732517256635,0.151669710906582,0.170466670497554,0.746669786620016,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.385180564144858,0.145833744726819,0.137754657678397,0.69308375899133,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.337576190028032,0.142177418679512,0.10547715205221,0.65096328691203,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.336833733017268,0.142500165494667,0.10365880049275,0.650378745549423,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",0.234799320496625,0.116933190042604,0.0605775402594681,0.50881428258334,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",0.235148032442782,0.118261433531827,0.0591697933514293,0.510767048383764,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",0.223155877531075,0.110168906907694,0.0577294695150529,0.483544861122582,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",0.223889106609085,0.110299309801216,0.0591777777963852,0.480672739063968,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",0.225115339283634,0.109950258230615,0.0600646185456922,0.480776433284925,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",0.32296180336068,0.131816641914702,0.109047675452263,0.613360789160793,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",0.323523327758094,0.13166353495387,0.110909118628597,0.612935407548652,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",0.283388065145001,0.122538900749283,0.0894934150035927,0.563814492330355,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
"mono1273",0.261300896635386,0.116218223691468,0.0794623545181614,0.526696826463159,"mono1273","1","0","0","Oceania",155.76,-7.05102,"mono1273"
"tora1259",0.260884579075239,0.115665130374475,0.0807287424723428,0.523275314205146,"tora1259","1","0","0","Oceania",155.496,-6.19922,"tora1259"
"zaba1237",0.263810091605208,0.118618730031504,0.0781579638130593,0.533772234124552,"zaba1237","0","0","0","Oceania",158.753,-7.74311,"zaba1237"
"bann1247",0.343928441635668,0.146526076255409,0.107503779310377,0.666798195396471,"bann1247","0","1","0","Oceania",155.128,-6.23061,"bann1247"
"teop1238",0.343728642665453,0.14242380133617,0.111218866992729,0.654177207392345,"teop1238","0","1","0","Oceania",154.971,-5.67474,"teop1238"
