"","elpd_diff","se_diff","elpd_kfold","se_elpd_kfold","p_kfold","se_p_kfold"
"model1",0,0,-1081.98903889702,13.8167814366354,743.261326732686,15.5277099732282
"model2",-0.225397391510969,0.922122325227442,-1082.21443628853,13.8065352887345,690.415212308269,13.4339314673971
"model3",-1.05090945024755,1.02253974352823,-1083.03994834726,13.8692167598293,750.275609032812,15.3277234731254
