"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.0584047912614817,0.161822194152483,0,0.652683155834968,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",-0.0246614293240875,0.0996560586566223,-0.337421359433899,-1.04800201976364e-21,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.024471145005337,0.0994270717036172,-0.333509620489663,-7.22537529450442e-22,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.0370577965695082,0.128766727902864,-0.490222883419291,-3.09686916484665e-22,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.111787205199321,0.165261030811124,0.00013157442595513,0.614762156773705,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.0980239410755319,0.150278158205359,0.000124039445612079,0.564403432707,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.0937331956889336,0.145333152350748,0.000125544892962015,0.548919010030786,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.093544786599879,0.145267673781448,0.000133126427700372,0.553476122437264,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.0951365783292365,0.142854641349771,0.000122289822956895,0.531938265240694,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.0943422233118268,0.141466996625302,0.000124342158304133,0.531585751624056,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.103074569562266,0.154911844624955,0.00012611947004818,0.584097761088286,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.393060741915065,0.293145700771612,-0.948519006138668,-0.00740245794356896,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.273404996678165,0.261822758370594,0.00194598347953044,0.887620457236162,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.099282086229313,0.163285502925509,4.0915455427662e-05,0.621341265428381,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.101504938335586,0.167987176435444,3.537683849692e-05,0.638658486371019,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.104168575878961,0.168530578067836,3.90532172406088e-05,0.636296318121892,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.117402007433432,0.185004122782441,3.79771249424649e-05,0.696314530197894,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.117537190754349,0.184346715785581,4.29519546784885e-05,0.699993059889502,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.139654586755908,0.204973131199081,5.8228641463462e-05,0.757569883426933,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.119771639664921,0.185088235984152,4.0333139939916e-05,0.698460304691723,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.120244606537018,0.185863456215413,4.52784343475732e-05,0.692598727923987,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.115655276378688,0.180165833663042,4.49938121327098e-05,0.674971143947165,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.114274845771265,0.17893704473477,4.96094635976912e-05,0.670150668916075,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.184418157335084,0.234080728975476,0.000150051488190395,0.824652032335366,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.185001543332158,0.235610475776873,0.000125440848750971,0.831332988149212,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",-0.0326697272161754,0.0857472725265697,-0.302663205504454,-6.45111529149872e-07,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
