"Name","Glottocode","Family_ID","AUTOTYP_area","Nominal_case","Verb_final","Free_word_order","Latitude","Longitude"
"Abun","abun1252",NA,"N Coast New Guinea","0","0","0",-0.57073,132.416
"'Are'are","area1240","aust1307","Oceania","1","0","1",-9.20699,161.158
"Axamb","axam1237","aust1307","Oceania","0","0","0",-16.4838,167.707
"Cashibo-Cacataibo","cash1251","pano1259","NE South America","1","1","1",-8.70232,-75.4206
"Chukchi","chuk1273","chuk1271","N Coast Asia","1","1","1",68.6436,170.045
"Ersu","ersu1241","sino1245","Southeast Asia","1","1","1",29.2867,102.213
"Estonian","esto1258","ural1272","Inner Asia","1","0","0",58.55,25.82
"Finnish","finn1318","ural1272","Europe","1","0","0",64.7628,25.5577
"Bunan","gahr1239","sino1245","Indic","1","1","1",32.2168,77.9596
"Ingrian","ingr1248","ural1272","Inner Asia","1","0","0",59.47403,29.71145
"Mateq","kemb1249","aust1307","Southeast Asia","0","0","0",0.66181,110.468
"Lenakel","lena1238","aust1307","Oceania","0","0","0",-19.4763,169.261
"Livvi","livv1243","ural1272","Inner Asia","1","0","0",61.6565,29.0726
"Lule Saami","lule1254","ural1272","Europe","1","0","1",67.2759,17.8057
"Mandarin Chinese","mand1415","sino1245","Southeast Asia","0","0","1",40.0209,116.228
"Modern Greek","mode1248","indo1319","Europe","1","0","1",38.36,23.13
"Moksha","moks1248","ural1272","Inner Asia","1","0","1",54.1855,42.6728
"Mwotlap","motl1237","aust1307","Oceania","0","0","0",-13.655015,167.706277
"Nanai","nana1257","tung1282","N Coast Asia","1","1","1",48.43426,134.79726
"Nen","nenn1238","more1255","S New Guinea","1","1","1",-8.62183,142.032
"Nocte Naga","noct1238","sino1245","Southeast Asia","0","1","1",27.152,95.3903
"Turkish","nucl1301","turk1311","Greater Mesopotamia","1","1","0",39.8667,32.8667
"Eastern Panjabi","panj1256","indo1319","Indic","1","1","1",30.0368,75.6702
"Pite Saami","pite1240","ural1272","Europe","1","0","1",66.4011,17.4261
"Polish","poli1260","indo1319","Europe","1","0","1",51.8439,18.6255
"Semelai","seme1247","aust1305","Southeast Asia","1","0","1",2.82799,102.806
"South Saami","sout2674","ural1272","Europe","1","1","1",62.8801,13.7006
"French","stan1290","indo1319","Europe","0","0","0",48,2
"English","stan1293","indo1319","Europe","0","0","0",53,-1
"Supyire Senoufo","supy1237","atla1278","African Savannah","0","1","0",11.632,-5.87709
"Tamil","tami1289","drav1251","Indic","1","1","1",10.520219,78.825989
"Tojolabal","tojo1241","maya1287","Mesoamerica","0","0","0",16.2572,-91.7825
"Karelian","kare1335","ural1272","Inner Asia","1","0","0",65.1691,30.8655
"Western Fijian","west2519","aust1307","Oceania","0","0","1",-17.8355,177.657
"Western Magar","west2418","sino1245","Indic","1","1","1",28.2462,83.511
"Wutunhua","wutu1241","sino1245","Inner Asia","0","1","1",35.269,101.957
"Agob-Ende-Kawam","agob1244","paho1240","S New Guinea","1","1","1",-9.08521,142.532
"Apma","apma1240","aust1307","Oceania","0","0","0",-15.8559,168.189
"Araki","arak1252","aust1307","Oceania","0","0","0",-15.632997,166.952542
"Atong (India)","aton1241","sino1245","Indic","1","1","1",25.346508,90.658722
"Central Alaskan Yupik","cent2127","eski1264","Alaska-Oregon","1","0","1",60.3062,-161.486
"Cosao","cosa1234","sino1245","Southeast Asia","0","1","1",21.616667,101.566667
"Faroese","faro1244","indo1319","Europe","1","0","0",62.0732,-6.88497
"Kayan Lahwi","kaya1315","sino1245","Southeast Asia","0","0","0",19.5183,97.4138
"Kxoe","kxoe1243","khoe1240","S Africa","0","0","1",-16.59051,22.599835
"Lezgian","lezg1247","nakh1245","Greater Mesopotamia","1","1","1",41.5157,47.8951
"Manambu","mana1298","nduu1242","N Coast New Guinea","1","1","1",-4.19082,142.862
"Matukar","matu1261","aust1307","N Coast New Guinea","0","1","1",-4.9078,145.779
"Mawng","maun1240","iwai1246","N Australia","0","0","1",-11.66,133.376
"Nganasan","ngan1291","ural1272","Inner Asia","1","1","1",73.1354,86.2106
"Northern Qiandong Miao","nort2747","hmon1336","Southeast Asia","0","0","0",26.6338,108.162
"North Slavey","nort2942","atha1245","E North America","0","1","0",63.5,-125.67
"Marind","nucl1622","anim1240","S New Guinea","0","1","1",-8.15651,140.009
"Pa-Hng","pahn1237","hmon1336","Southeast Asia","0","0","1",22.8049,105.165
"Pela","pela1242","sino1245","Southeast Asia","0","1","1",24.2142,97.9183
"South Slavey","sout2959","atha1245","E North America","0","1","0",59.8794,-117.047
"Tibetan","tibe1272","sino1245","Indic","1","1","1",28.3681,90.1872
"Udihe","udih1248","tung1282","N Coast Asia","1","1","1",46.63086,135.67762
"Vurës","vure1239","aust1307","Oceania","0","0","0",-13.905677,167.451412
"Yami","yami1254","aust1307","Oceania","1","0","1",22.055,121.544
"Araona","arao1248","pano1259","NE South America","1","1","1",-12.4242,-67.7293
"Ashéninka Perené","ashe1272","araw1281","Andean","0","0","1",-10.9777,-74.9153
"Baima","baim1244","sino1245","Southeast Asia","0","1","1",33.1001,103.952
"Paluai","balu1257","aust1307","N Coast New Guinea","0","0","0",-2.5604,147.282
"Bola","bola1250","aust1307","N Coast New Guinea","0","0","0",-5.55792,150.095
"Chipewyan","chip1261","atha1245","E North America","0","1","0",58.98,-104.44
"Chuvash","chuv1255","turk1311","Inner Asia","1","1","0",55.48701,47.16298
"Dzao Min","dzao1238","hmon1336","Southeast Asia","0","0","1",24.9754,112.326
"Emai-Iuleha-Ora","emai1241","atla1278","African Savannah","0","0","0",7.09089,5.84494
"Enu","enuu1235","sino1245","Southeast Asia","0","1","0",22.95,101.85
"Forest Enets","fore1265","ural1272","Inner Asia","1","1","0",69.9829,88.2121
"Gayo","gayo1244","aust1307","Southeast Asia","0","0","1",4.3733,97.3456
"Geba Karen","geba1237","sino1245","Southeast Asia","0","0","0",19.4991,96.9492
"Halkomelem","halk1245","sali1255","Alaska-Oregon","0","0","1",49.250402,-122.443668
"Amkoe","hoaa1235","kxaa1236","S Africa","0","0","0",-23.93447,24.69828
"Italian","ital1282","indo1319","Europe","0","0","0",43.0464,12.6489
"Kenuzi-Dongola","kenu1236","nubi1251","N Africa","1","1","1",21.2837,31.8992
"Southern Qiang","sout2728","sino1245","Southeast Asia","1","1","1",31.5392,103.384
"Milang","mila1245","sino1245","Indic","1","1","1",28.5539908,95.186127
"Northern Uzbek","nort2690","turk1311","Indic","1","1","0",40.886,69.211
"Japanese","nucl1643","japo1237","N Coast Asia","1","1","1",35,135
"Odia","oriy1255","indo1319","Indic","1","1","1",21,85
"Mangaia-Old Rapa","rapa1245","aust1307","Oceania","0","0","1",-27.6304,-144.338
"Russian","russ1263","indo1319","Inner Asia","1","0","1",59,50
"Samoan","samo1305","aust1307","Oceania","0","0","1",-13.92,-171.83
"Catalan","stan1289","indo1319","Europe","0","0","0",41.453,1.569
"Thakali","thak1245","sino1245","Indic","1","1","1",28.7014,83.6466
"To'abaita","toab1237","aust1307","Oceania","0","0","0",-8.39233,160.619
"Ts'ixa","tsix1234","khoe1240","S Africa","1","1","1",-19.180953,23.998153
"South Estonian","sout2679","ural1272","Inner Asia","1","0","0",57.85,27
"Wolaytta","wola1242","gong1255","Greater Abyssinia","1","1","0",6.32668,37.7537
"Younuo Bunu","youn1235","hmon1336","Southeast Asia","0","0","1",25.7638,110.474
"Lahta-Zayein Karen","zaye1235","sino1245","Southeast Asia","0","0","0",20.16,96.908
"Acehnese","achi1257","aust1307","Southeast Asia","0","0","0",3.90757,96.6032
"Thavung","aheu1239","aust1305","Southeast Asia","0","0","1",17.7655,104.229
"Alaba-K'abeena","alab1254","afro1255","Greater Abyssinia","1","1","1",7.39014,38.1732
"Aleut","aleu1260","eski1264","N Coast Asia","1","1","0",52.1228,-174.29
"Crow","crow1244","siou1252","Basin and Plains","0","1","1",45.368,-107.874
"Lisu","lisu1250","sino1245","Southeast Asia","0","1","1",26.91,98.94
"Futuna-Aniwa","futu1245","aust1307","Oceania","0","0","0",-19.5303,170.215
"Galician","gali1258","indo1319","Europe","0","0","0",42.2446,-7.5343
"Imbabura Highland Quichua","imba1240","quec1387","Andean","1","1","1",0.31776,-78.3729
"Isconahua","isco1239","pano1259","NE South America","1","0","1",-7.75236,-74.5193
"Kumbainggar","kumb1268","pama1250","S Australia","1","1","0",-29.8189,152.913
"Lipo","lipo1242","sino1245","Southeast Asia","0","1","1",25.226,101.302
"Ludian","ludi1246","ural1272","Inner Asia","1","0","0",61.853,33.7346
"Malayalam","mala1464","drav1251","Indic","1","1","1",9.59208,76.7651
"Mangarrayi","mang1381","mang1423","N Australia","1","0","1",-14.8,133.5
"Mekeo","meke1243","aust1307","S New Guinea","0","1","1",-8.23853,146.586
"Kman","miju1243","sino1245","Indic","0","1","1",28.4732,97.0444
"Mwaghavul","mwag1236","afro1255","African Savannah","0","0","0",9.47205,8.96522
"Njanga","njan1240","atla1278","African Savannah","0","0","0",6.41,11.51
"Nyahkur","nyah1250","aust1305","Southeast Asia","0","0","1",15.8909,101.515
"Portuguese","port1283","indo1319","Europe","0","0","0",39.91,-8.1
"Saaroa","saar1237","aust1307","Oceania","0","0","0",23.2632,120.711
"Seimat","seim1238","aust1307","Oceania","0","0","0",-1.2666667,144.25
"Shoshoni","shos1248","utoa1244","Basin and Plains","1","1","0",41,-116
"Sinaugoro","sina1266","aust1307","S New Guinea","0","1","1",-9.79791,147.861
"Northern Jinghpaw","sing1264","sino1245","Southeast Asia","1","1","1",27.296,95.606
"Skolt Saami","skol1241","ural1272","Inner Asia","1","1","1",68.8326,29.7204
"Slovenian","slov1268","indo1319","Europe","1","0","1",46.2543,14.7766
